object,relation,subject
you,closeness,European Funds
MAR2030 -2023 -22,has,call for applications
Date of publication,has,MAR2030 -2023 -22
14/11/2023,has,Date of publication
Nature of the notice,has,MAR2030 -2023 -22
Tender,has,Nature of the notice
Scope of action,has,MAR2030 -2023 -22
Operations,has,Scope of action
Approved by,has,MAR2030 -2023 -22
SRMAR,has,Approved by
25/07/2023,has,SRMAR
Name of the notice,has,MAR2030 -2023 -22
Processing of Fishery and Aquaculture Products in the Field of Productive Investments - Autonomous Region of Madeira,has,Name of the notice
Support to,has,MAR2030 -2023 -22
"promote the marketing, quality, and added value of fishery and aquaculture products, as well as the processing of these products",has,Support to
Actions covered by this notice,has,MAR2030 -2023 -22
"This notice covers actions promoted by companies, as provided for in Article 50 of Ordinance No. 559/2023 of July 25, relating to",has,Actions covered by this notice
"a) Productive investments as well as investments that promote decarbonization, the use of renewable energy and energy efficiency, the circular economy, digitization, and internationalization,",has,Article 50 of Ordinance No. 559/2023 of July 25
b) Investments that promote entrepreneurship by supporting the creation and development of start-ups and spin-offs;,has,Article 50 of Ordinance No. 559/2023 of July 25
"c) Investments in the certification and promotion of sustainable fisheries and aquaculture products, including the processes leading to the registration of trademarks or patents;",has,Article 50 of Ordinance No. 559/2023 of July 25
d) Investments that reduce the impact of the activity on the environment;,has,Article 50 of Ordinance No. 559/2023 of July 25
"e) Development of marketing and internationalization strategies, including promotional or prospecting and product development actions that are not part of actions organized by producers' associations and organizations;",has,Article 50 of Ordinance No. 559/2023 of July 25
"f) Marketing innovation, involving the implementation of a new marketing method with significant changes in product design or packaging, or in its promotion and distribution;",has,Article 50 of Ordinance No. 559/2023 of July 25
g) Initiatives that promote consumption diversification through the processing of fishery products relating to more abundant species with lower commercial value;,has,Article 50 of Ordinance No. 559/2023 of July 25
h) Promotion of short distribution and marketing channels.,has,Article 50 of Ordinance No. 559/2023 of July 25
Entities that can apply,has,MAR2030 -2023 -22
SMEs whose activity falls within the CAE subclasses provided for in Article 52(1) of Ordinance No. 559/2023 of July 25,has,Entities that can apply
a) 10201 “Preparation of fishery and aquaculture products”;,has,Article 52(1) of Ordinance No. 559/2023 of July 25
b) 10202 “Freezing of fishery and aquaculture products”;,has,Article 52(1) of Ordinance No. 559/2023 of July 25
c) 10203 “Preservation of fishery and aquaculture products in olive oil and other vegetable oils and other sauces”;,has,Article 52(1) of Ordinance No. 559/2023 of July 25
"d) 10204 “Salting, drying, and other processing of fishery and aquaculture products”;",has,Article 52(1) of Ordinance No. 559/2023 of July 25
"e) 10411 “Production of crude animal oils and fats, if related to fishery and aquaculture products”;",has,Article 52(1) of Ordinance No. 559/2023 of July 25
"f) 10850 “Manufacture of pre-cooked meals and dishes, if related to fishery and aquaculture products”.",has,Article 52(1) of Ordinance No. 559/2023 of July 25
Geographical area covered,has,MAR2030 -2023 -22
Autonomous Region of Madeira,has,Geographical area covered
Application period,has,MAR2030 -2023 -22
From 14/11/ 2023 to 30/12/2027,has,Application period
Indicative fund allocation available,has,MAR2030 -2023 -22
in this notice Fund and maximum co-financing rate,has,Indicative fund allocation available
"€770,000 FEAMPA (*)  70%",has,Fund and maximum co-financing rate
"€770,000 FEAMPA (*)  70%",has,Fund and maximum co-financing rate
Funding program,has,MAR2030 -2023 -22
MAR 2030 Program,has,Funding program
Support management entity/Intermediate body,has,MAR 2030 Program
Regional Coordinator of Mar 2030 - Autonomous Region of Madeira,has,Support management entity/Intermediate body
Contacts for further information,has,MAR2030 -2023 -22
Funds Hotline 800 10 35 10 (9:00 a.m. to 6:00 p.m. - toll-free),has,Contacts for further information
Email: linhadosfundos@linhadosfundos.pt,has,Contacts for further information
MAR 2030 Program,has,MAR2030 -2023 -22
Phone: + 351 291 203 250,has,MAR 2030 Program
Email: drp@madeira.gov.pt,has,MAR 2030 Program
Aims and objectives,has,MAR2030 -2023 -22
"To promote the marketing, quality, and added value of fishery and aquaculture products, as well as the processing of these products",has,Aims and objectives
