node_id,node_attr
1,"Document: Mar2030-2023-22"
2,"Date: 14/11/2023"
3,"Note: Aviso Para Apresentação De Candidaturas"
4,"Nature: Concurso"
5,"Scope: Operações"
6,"Date: 25/07/2023"
7,"Title: Transformação De Produtos Da Pesca E Da Aquicultura No Domínio Dos Investimentos Produtivos - Região Autónoma Da Madeira"
8,"Goal: Apoio Para Promover A Comercialização, A Qualidade, O Valor Acrescentado Dos Produtos Da Pesca E Da Aquicultura, Assim Como A Transformação Destes Produtos"
9,"Person: Gestão Do Projeto"
10,"Person: Entidades Envolvidas"
11,"Person: Entidades Participantes"
12,"Person: Entidades Beneficiárias"
13,"Person: Pme"
14,"Document: Portaria N.º 559/2023"
15,"Concept: Cae Subclasses"
16,"Concept: 10301"
17,"Concept: 10202"
18,"Concept: 10203"
19,"Concept: 10204"
20,"Concept: 10411"
21,"Concept: 10850"
22,"Concept: Fundos Europeus"
23,"Organization: Instituições Do Ensino Superior"
24,"Organization: Laboratórios Do Estado Ou Internacionais"
25,"Organization: Instituições Privadas Sem Fins Lucrativos"
26,"Organization: Outras Instituições Públicas E Privadas Sem Fins Lucrativos"
27,"Location: Região Autónoma Da Madeira"
28,"Time_period: 14/11/2023 A 30/12/2027"
29,"Fund: Fundo Feampa"
30,"Percentage: 70%"
31,"Program: Programa Mar 2030"
32,"Organization: Coordenador Regional Do Mar 2030 - Região Autónoma Da Madeira"
33,"Organization: Linha Dos Fundos"
34,"Organization: Linhadosfundos.Pt"
35,"Phone: Telefone:+351 291 203 250"
36,"Email: Correio Eletrónico: Drp@Madeira.Gov.Pt"
37,"Concept: Fundos Europeus Mais Próximos De Si"
38,"Concept: Finalidades E Objetivos"
39,"Goal: Promover A Comercialização, A Qualidade, O Valor Acrescentado Dos Produtos Da Pesca E Da Aquicultura, Assim Como A Transformação Destes Produtos"
40,"Concept: Dotação"
41,"Priority: Prioridade Do Programa 2"
42,"Goal: Fomentar Atividades De Aquicultura Sustentáveis E A Transformação E Comercialização De Produtos Da Pesca E Da Aquicultura, Contribuindo Assim Para A Segurança Alimentar Da União"
43,"Objective: Objetivos Específicos Fso2.2"
44,"Goal: Promover A Comercialização, A Qualidade E O Valor Acrescentado Dos Produtos Da Pesca E Da Aquicultura, Assim Como A Transformação Destes Produtos"
45,"Action_type: Tipologia De Ação Fso2.2 -01-Investimentos Produtivos Na Transformação"
46,"Action_type: Fso2.2.02 - Investimentos Em Eficiência Energética, A Economia Circular, A Digitalização E A Internacionalização"
47,"Intervention_type: Tipologia De Intervenção Fso2.2 -01-01-Investimentos Produtivos Na Transformação"
48,"Intervention_type: Fso2.2.02 -01 - Investimentos Em Eficiência Energética, A Economia Circular, A Digitalização E A Internacionalização"
49,"Operation_type: Tipologia De Operação 8503"
50,"Operation: Investimento Na Redução Do Consumo De Energia E Na Eficiência Energética"
51,"Operation_type: Tipologia De Operação 8504"
52,"Operation: Investimento Em Sistemas De Energias Renováveis"
53,"Operation_type: Tipologia De Operação 8515"
54,"Operation: Investimentos De Apoio Ao Desenvolvimento De Empresas"
55,"Operation_type: Tipologia De Operação 8517"
56,"Operation: Desenvolvimento Da Inovação Comercial"
57,"Operation_type: Tipologia De Operação 8518"
58,"Operation: Desenvolvimento Da Inovação De Processos"
59,"Operation_type: Tipologia De Operação 8519"
60,"Operation: Desenvolvimento Da Inovação Do Produto"
61,"Operation_type: Tipologia De Operação 8510"
62,"Operation: Utilização De Capturas Indesejadas"
63,"Operation_type: Tipologia De Operação 8548"
