node_id,node_attr
1,"Grant: Avisoparaapresentaçãodecandidaturas"
2,"Databasetable: Setoreconomico"
3,"Geographiccriterion: Regiaoautonomamadeira"
4,"Grant: Programa Mar 2030"
5,"Personlocation: + 351 291 203 250"
6,"Provenanceinfo: Drp@Madeira.Gov.Pt"
7,"Geographiccriterion: Fundos Europeus"
8,"Geographiccriterion: 4/23"
9,"Geographiccriterion: Finalidades E Objetivos"
10,"Geographiccriterion: Promover A Comercialização, A Qualidade, O Valor Acrescentado Dos Produtos Da Pesca E Da Aquicultura, Assim Como A Transformação Destes Produtos."
11,"Geographiccriterion: Dotação"
12,"Geographiccriterion: Prioridade Do Programa  2"
13,"Geographiccriterion: Objetivos Específicos  Fso2.2"
14,"Geographiccriterion: Fso2.2 - Promover A Comercialização, A Qualidade E O Valor Acrescentado Dos Produtos Da Pesca E Da Aquicultura, Assim Como A Transformação Destes Produtos"
15,"Geographiccriterion: Tipologia De Ação Fso2.2 -01-Investimentos Produtivos Na Transformação"
16,"Geographiccriterion: Fso2.2.02 - Investimentos Em Eficiência Energética, A Economia Circular, A Digitalização E A Internacionalização"
17,"Geographiccriterion: Tipologia De Intervenção Fso2.2 -01-01-Investimentos Produtivos Na Transformação"
18,"Geographiccriterion: Fso2.2.02 -01 - Investimentos Em Eficiência Energética, A Economia Circular, A Digitalização E A Internacionalização"
19,"Geographiccriterion: Tipologia De Operação 8503 - Investimento Na Redução Do Consumo De Energia E Na Eficiência Energética"
20,"Geographiccriterion: 8504 - Investimento Em Sistemas De Energias Renováveis"
21,"Geographiccriterion: 8515 – Investimentos De Apoio Ao Desenvolvimento De Empresas (Desenvolvimento De Estratégias, Administração, Equipamento)"
22,"Geographiccriterion: 8517 - Desenvolvimento Da Inovação Comercial"
23,"Geographiccriterion: 8518 - Desenvolvimento Da Inovação De Processos"
24,"Geographiccriterion: 8519 - Desenvolvimento Da Inovação Do Produto"
25,"Geographiccriterion: 8510 – Utilização De Capturas Indesejadas"
26,"Geographiccriterion: 8548 – Consumo De Água E Melhoria Da Qualidade Da Água"
27,"Geographiccriterion: 8512 - Qualidade Dos Alimentos, Segurança E Higiene"
28,"Geographiccriterion: 8546 - Atividades De Comercialização"
29,"Geographiccriterion: 8513 - Investimentos Nas Condições De Trabalho"
30,"Geographiccriterion: Fundo"
31,"Grant: Dotação Fundo  Feampa"
32,"Geographiccriterion: Taxa Máxima  100%"
33,"Grant: Dotação Nacional  330 000 €"
34,"Geographiccriterion: Fonte De Financiamento Nacional"
35,"Grant: Dotação Global  770 000 €"
36,"Geographiccriterion: Ações Elegíveis"
37,"Geographiccriterion: Investimentos Produtivos Bem Como Investimentos Que Promovam A Descarbonização, O Uso De Energias"
38,"Databasetable: 10850"
39,"Databasetable: Fabricação De Refeições E Pratos Pré-Cozinhados"
40,"Databasetable: Produtos Da Pesca E Da Aquicultura"
41,"Databasetable: Entidades Do N.º 2 Do Artigo 52. º Da Portaria N.º 559/2023, De 25 De Julho"
42,"Databasetable: Instituições Do Ensino Superior, Seus Institutos E Unidades De I&D"
43,"Databasetable: Laboratórios Do Estado Ou Internacionais Com Sede Ou Representação Permanente Em Portugal"
44,"Databasetable: Instituições Privadas Sem Fins Lucrativos Com Atividades De I&D"
45,"Databasetable: Outras Instituições Públicas E Privadas, Sem Fins Lucrativos, Que Desenvolvam Atividades De Investigação Científica"
46,"Databasetable: Artigo 14 Do Decreto-Lei N.º 20-A/2023"
47,"Databasetable: Artigo 5.º Da Portaria N.º 559/2023"
48,"Databasetable: Artigo 53.º Da Portaria N.º 559/2023"
49,"Databasetable: Certificação Do Iapmei"
50,"Databasetable: Autorização De Instalação"
51,"Databasetable: Licença De Exploração E Número De Controlo Veterinário"
52,"Databasetable: Autorização Para Alterações Dos Estabelecimentos"
53,"Databasetable: Situação Económico-Financeira Equilibrada"
54,"Databasetable: Situação Económica E Financeira Equilibrada"
55,"Databasetable: Autonomia Financeira"
56,"Databasetable: Decreto -Lei N.º 20 -A/2023"
57,"Databasetable: Portaria N.º 559/2023"
58,"Databasetable: Artigo 19.º Do Decreto -Lei N.º 20 -A/2023"
59,"Databasetable: Artigo 6.º Da Portaria N.º 559/2023"
60,"Databasetable: Artigo 51º Da Portaria N.º 559/2023"
61,"Databasetable: Mapas De Remunerações Da Segurança Social"
62,"Databasetable: Contrato De Trabalho Escrito"
63,"Databasetable: Pontos De Vinculo Laboral"
64,"Databasetable: Postos De Trabalho De Gerentes, Administradores E Sócios"
65,"Grant: Despesas Na Alínea Q) Do N.º 1 Do Artigo 54 Da Portaria N.º 559/2023"
66,"Grant: Aquisição De Veículos"
67,"Grant: Despesas Na Alínea T) Do N.º 1 Do Artigo 54 Da Portaria N.º 559/2023"
68,"Grant: Auditoria E Consultoria Especializada"
69,"Grant: Custos Unitários E Taxas Fixas"
70,"Grant: Operações Realizadas Em Co -Promoção"
71,"Databasetable: Formas De Pagamento"
72,"Grant: Adiantamentos"
73,"Grant: Reembolso"
74,"Grant: Contra Fatura"
75,"Databasetable: Pagamentos Ao Projeto"
76,"Databasetable: Pedido De Pagamento Final"
77,"Databasetable: 8503"
78,"Databasetable: 8504"
79,"Databasetable: 8515"
80,"Databasetable: 8517"
81,"Databasetable: 8518"
82,"Databasetable: 8519"
83,"Databasetable: 8510"
84,"Databasetable: 8548"
85,"Databasetable: 8512"
86,"Databasetable: 8546"
87,"Databasetable: 8513"
88,"Databasetable: Co01"
89,"Databasetable: Cr14"
90,"Grant: Cr17"
91,"Grant: Cr04"
92,"Grant: Cr18.1"
93,"Grant: Progetto Na Parâmetros"
94,"Grant: Diversificação Da Oferta"
95,"Grant: Criação De Um Novo Produto Com Utilização De Uma Nova Espécie De Peixe"
96,"Grant: Criação De Um Novo Produto Ou De Produtos Melhorados"
