node_id,node_attr,node_type
1,"Chunk_0: 'Vouchers para Startups \u2013 Novos produtos\ndigitais/tecnol\u00f3gicos Granter.ai\nAtividade Econ\u00f3mica Principal do Benefici\u00e1rio (Fundamenta\u00e7\u00e3o)\u200b\n(limite XX)\n\nA atividade principal da Granter.ai enquadra-se plenamente nos setores intensivos em\ntecnologia, uma vez que a empresa se dedica ao desenvolvimento de solu\u00e7\u00f5es baseadas em\nintelig\u00eancia artificial (IA), aplicadas \u00e0 \u00e1rea das candidaturas a fundos p\u00fablicos. O projeto\nproposto, que passa pela cria\u00e7\u00e3o de um agente de IA que vai apoiar as empresas na\nelabora\u00e7\u00e3o de candidaturas a programas de financiamento, integra atividades de\ninvestiga\u00e7\u00e3o e desenvolvimento tecnol\u00f3gico, incorporando metodologias avan\u00e7adas como\nRedes Generativas Adversariais (GANs) e Adversarial In-Context Learning (Adv-ICL),\npermitindo gerar conte\u00fados especializados e adaptados ao contexto dos clientes. Trata-se\nde um software propriet\u00e1rio, desenvolvido internamente, que valoriza a aplica\u00e7\u00e3o pr\u00e1tica de\nconhecimento t\u00e9cnico e cient\u00edfico, ao transformar modelos te\u00f3ricos de IA em solu\u00e7\u00f5es com\nimpacto direto na efici\u00eancia e inova\u00e7\u00e3o do setor. A capacidade de adapta\u00e7\u00e3o a m\u00faltiplos\nmercados e a forte \u00eanfase na automa\u00e7\u00e3o de processos complexos refor\u00e7am o seu\nenquadramento num setor de alta intensidade tecnol\u00f3gica, com elevado potencial de\ncrescimento.\n\nResumo do projeto\u200b\n(limite 1000)\n\nA Granter.ai \u00e9 uma startup dedicada a solu\u00e7\u00f5es de IA aplicadas \u00e0 \u00e1rea do financiamento\np\u00fablico. A Granter pretende desenvolver um Agente de IA para utiliza\u00e7\u00e3o por parte das\nempresas na elabora\u00e7\u00e3o de candidaturas a programas de financiamento. Esta ferramenta\npretende transformar a forma como estas candidaturas s\u00e3o preparadas, auxiliando na\nidentifica\u00e7\u00e3o da oportunidade, submiss\u00e3o automatizada, gest\u00e3o da burocracia associada e\nacompanhamento dos projetos. A solu\u00e7\u00e3o vai integrar metodologias de IA, adaptadas \u00e0\nrealidade e contexto de fundos p\u00fablicos, como Redes Generativas Adversariais e Adversarial\nIn-Context Learning, garantindo conte\u00fados otimizados, alinhados com os requisitos dos\nprogramas de financiamento. O objetivo \u00e9 proporcionar uma ferramenta inteligente,\nacess\u00edvel e altamente eficiente, que otimize todo o processo de candidatura a financiamento.\nO desenvolvimento deste Agente de IA representa um salto tecnol\u00f3gico significativo, sendo\numa solu\u00e7\u00e3o escal\u00e1vel com forte potencial.\n\n\fFundamenta\u00e7\u00e3o dos Objectivos\u200b\n(limite 2000)'","TextChunk"
2,"Granter.Ai","Person"
3,"Startup","Person"
4,"Fundingprogram","Person"
5,"Artificialintelligence","Person"
6,"Researchanddevelopment","Person"
7,"Gans","Person"
8,"Adv-Icl","Person"
9,"Software","Person"
10,"Knowledgemodel","Person"
11,"Marketadaptation","Person"
12,"Automationprocess","Person"
13,"Hightechsector","Person"
14,"Growthpotential","Person"
15,"Fundingapplicationtool","Person"
16,"Opportunityidentification","Person"
17,"Automatedsubmission","Person"
18,"Bureaucracymanagement","Person"
19,"Projectmonitoring","Person"
20,"Fundingfund","Person"
21,"Company","Person"
22,"Chunk_1: 'Fundamenta\u00e7\u00e3o dos Objectivos\u200b\n(limite 2000)\n\nA Granter.ai tem como miss\u00e3o democratizar e facilitar o acesso a fundos p\u00fablicos. O projeto\napresentado passa pela cria\u00e7\u00e3o de um Agente de AI para utiliza\u00e7\u00e3o por parte de\nespecialistas e empresas na elabora\u00e7\u00e3o de candidaturas a estas oportunidades de\nfinanciamento. O Agente de IA vai agregar metodologias de elevada sofistica\u00e7\u00e3o tecnol\u00f3gica,\nnomeadamente Redes Generativas Adversariais (GANs) e Adversarial In-Context Learning\n(Adv-ICL), aplicadas \u00e0 gera\u00e7\u00e3o de conte\u00fados especializados. O seu desenvolvimento envolve\num processo intensivo de investiga\u00e7\u00e3o aplicada, com forte componente de experimenta\u00e7\u00e3o,\nafina\u00e7\u00e3o e valida\u00e7\u00e3o de modelos lingu\u00edsticos adaptados ao dom\u00ednio espec\u00edfico das pol\u00edticas\np\u00fablicas e dos fundos p\u00fablicos, que visa a cria\u00e7\u00e3o de uma nova ferramenta com impacto\ndireto no mercado.\nA escalabilidade da solu\u00e7\u00e3o \u00e9 assegurada pela sua estrutura modular que vai permitir a\nr\u00e1pida adapta\u00e7\u00e3o a diferentes contextos nacionais. Espera-se que o produto final seja\nfacilmente adaptado a qualquer mercado, idioma ou contexto legal. A natureza digital do\nAgente de IA, e a sua infraestrutura, que se prev\u00ea altamente adapt\u00e1vel, vai permitir que a\nferramenta se molde facilmente a qualquer mercado, atrav\u00e9s da simples conex\u00e3o da mesma\na uma base de dados com toda a informa\u00e7\u00e3o relevante. Com o lan\u00e7amento desta ferramenta,\na Granter perspetiva, at\u00e9 ao final de 2025, a entrada em mercados como Espanha, It\u00e1lia e\nEUA, onde a procura por solu\u00e7\u00f5es para acesso a financiamento p\u00fablico \u00e9 elevada.\nAdicionalmente, a Granter.ai acredita que o Agente de IA vai ter um contributo relevante\npara a transi\u00e7\u00e3o clim\u00e1tica, ainda que de forma indireta: o facto de facilitar o acesso a\nprogramas de financiamento ligados \u00e0 sustentabilidade e \u00e0 economia verde, vai impulsionar\niniciativas empresariais com impacto ambiental positivo.\nEste projeto representa, assim, uma solu\u00e7\u00e3o tecnol\u00f3gica e altamente diferenciadora, capaz\nde gerar impacto no ecossistema econ\u00f3mico, tanto a n\u00edvel nacional como internacional.\n\nFundamenta\u00e7\u00e3o da Tipologia\u200b\n(limite 5000)\n\nTipologia a selecionar - Apoio ao arranque ou ao crescimento\nA Granter.ai encontra-se numa fase inicial de crescimento acelerado, o que justifica de forma\nclara o enquadramento do projeto na tipologia de \u201cApoio ao arranque ou ao crescimento\u201d.\nTendo iniciado a sua atividade em dezembro de 2024, a Granter.ai j\u00e1 demonstrou sinais\nconsistentes de tra\u00e7\u00e3o e potencial de escala, com uma base de mais de 2.500 empresas\nregistadas, mais de 150 candidaturas submetidas e um volume total de mais de 20 milh\u00f5es\nde euros em projetos de financiamento acompanhados. Para al\u00e9m disso, a empresa\nconseguiu angariar 400.000\u20ac em rondas de investimento e apresenta um crescimento\ntrimestral sustentado de 45%. Estes indicadores refletem um modelo de neg\u00f3cio com forte\naceita\u00e7\u00e3o no mercado e em clara fase de expans\u00e3o. Ainda como parte do seu processo de'","TextChunk"
23,"Ai Agent","Person"
24,"Specialists","Person"
25,"Companies","Person"
26,"Public Funds","Grant"
27,"Funding Opportunities","Opportunity"
28,"Generative Adversarial Networks","Databasetable"
