node_id,node_attr,node_type
1,"Granter.Ai","Person"
2,"Ai Solutions","Concept"
3,"Public Funding Applications","Concept"
4,"Ai Agent","Concept"
5,"Financing Programs","Concept"
6,"Research And Technological Development Activities","Concept"
7,"Generative Adversarial Networks","Concept"
8,"Adversarial In-Context Learning","Concept"
9,"Proprietary Software","Concept"
10,"Sector Efficiency","Concept"
11,"Sector Innovation","Concept"
12,"Markets","Concept"
13,"Automation Processes","Concept"
14,"High-Tech Sector","Concept"
15,"Growth Potential","Concept"
16,"Specialists","Person"
17,"Businesses","Person"
18,"Public Funding","Concept"
19,"Funding Opportunities","Concept"
20,"Public Policies","Concept"
21,"Public Funds","Concept"
22,"Market","Concept"
23,"National Contexts","Concept"
24,"Market Language","Concept"
25,"Legal Context","Concept"
26,"Database","Concept"
27,"Spain","Location"
28,"Italy","Location"
29,"Usa","Location"
30,"Climate Transition","Concept"
31,"Sustainability","Concept"
32,"Green Economy","Concept"
33,"Business Initiatives","Concept"
34,"Economic Ecosystem","Concept"
35,"Typology Support For Startup Or Growth","Concept"
36,"December 2024","Date"
37,"Registered Companies","Concept"
38,"Applications Submitted","Concept"
39,"Funded Projects","Concept"
40,"Investment Rounds","Concept"
41,"€400,000","Amount"
42,"Quarterly Growth","Concept"
43,"Recognition Of Competence","Concept"
44,"Ani","Organization"
45,"Company","Person"
46,"Digital Product","Person"
47,"Technological Foundation","Person"
48,"Generative Adversarial Networks (Gans)","Person"
49,"Adversarial In-Context Learning (Advicl)","Person"
50,"Company Resources","Person"
51,"Team","Person"
52,"Advanced Technical Knowledge","Person"
53,"Applied Research","Person"
54,"Experimental Development","Person"
55,"Technological Complexity","Person"
56,"Robust Solution","Person"
57,"Users","Person"
58,"Sector","Person"
59,"Public Funding Application Sector","Person"
60,"Service Offering","Person"
61,"Revenue Streams","Person"
62,"Licensing Model","Person"
63,"Languages","Person"
64,"Legal Frameworks","Person"
65,"Operational Frameworks","Person"
66,"Internationalization","Person"
67,"Support For Startup Or Growth","Person"
68,"Growth Objectives","Person"
69,"Medium- And Long-Term Vision","Person"
70,"Mission","Person"
71,"Public Funding Opportunities","Person"
72,"Competencies","Person"
73,"Partnerships","Person"
74,"Project","Person"
75,"Technology","Person"
76,"Software","Person"
77,"Ai-Based Functionalities","Person"
78,"Adversarial In-Context Learning (Adv-Icl)","Person"
79,"Funding Notice","Person"
80,"Application Process","Person"
81,"Opportunities","Person"
82,"Eligibility Analysis","Person"
83,"Application Drafting","Person"
84,"Application Evaluation","Person"
85,"Submission Automation","Person"
86,"Project Management","Person"
87,"Business Ecosystem","Person"
88,"Public Funding Mechanisms","Person"
89,"European Union","Person"
90,"Proposals","Person"
91,"International Markets","Person"
92,"Saas Business Model","Person"
93,"Models","Databasetable"
94,"Access Levels","Databasetable"
95,"Individual","Person"
96,"Business","Organization"
97,"Prr","Person"
98,"Companies 4.0","Geographiccriterion"
99,"Digital Transition","Geographiccriterion"
100,"Artificial Intelligence","Person"
101,"Automation","Person"
102,"Usability","Person"
103,"Business Model Modernization","Person"
104,"Technological Empowerment","Person"
105,"Digital Solutions","Person"
106,"Eco-Innovation","Person"
107,"Digital Transformation","Person"
108,"Funding Programs","Person"
109,"Efficiency","Person"
110,"Eco-Efficiency","Person"
111,"Technology-Based Business Models","Person"
112,"Public Funding Consultancy","Person"
113,"Tech Startups","Person"
114,"Management Team","Person"
115,"Duarte Gomes","Person"
116,"Uber Eats Team In Portugal","Person"
117,"Startup 1","Person"
118,"Startup 2","Person"
119,"Startup 3","Person"
120,"Ai Agent Development","Grant"
121,"Software Engineering","Person"
122,"Strategic Leadership","Person"
123,"Product Management","Person"
124,"Commercial Expansion","Person"
125,"Joel Rodrigues","Person"
126,"Demium","Person"
127,"Goparity","Person"
128,"Luis Batista","Person"
129,"Ricardo Moreira","Person"
130,"Rodrigo Mendes","Person"
131,"Otovo","Person"
132,"Too Good To Go","Person"
133,"Front-End Developer","Person"
134,"Tool Creation","Opportunity"
135,"Technical Demands","Opportunity"
136,"Team Members","Person"
137,"Experience","Person"
138,"Leadership","Person"
139,"Execution","Person"
140,"Execution Capacity","Concept"
141,"Measure'S Objectives","Concept"
142,"Company'S Sustainable Growth","Concept"
143,"Beneficiaries","Entity"
