node_id,node_attr
1,"Person: Granter.Ai"
2,"Person: Technology Sector"
3,"Person: Artificial Intelligence Solutions"
4,"Person: Funding Programs"
5,"Person: Research And Technological Development Activities"
6,"Person: Generative Adversarial Networks (Gans)"
7,"Person: Adversarial In-Context Learning (Adv-Icl)"
8,"Person: Software"
9,"Person: Knowledge Application"
10,"Person: Market Adaptation"
11,"Person: High-Tech Sector"
12,"Person: Growth Potential"
13,"Person: Startups"
14,"Person: Ai Agent"
15,"Person: Companies"
16,"Person: Funding Application Process"
17,"Person: Automation Methodologies"
18,"Person: Public Funds"
19,"Person: Optimized Content"
20,"Person: Technology Development"
21,"Person: Scalable Solution"
22,"Person: Specialists"
23,"Person: Funding Opportunities"
24,"Person: Generative Adversarial Networks"
25,"Person: Adv-Icl"
26,"Person: Public Policies"
27,"Person: Public Funds Policies"
28,"Person: Market"
29,"Person: Spain"
30,"Person: Italy"
31,"Person: Usa"
32,"Person: Climate Transition"
33,"Person: Sustainability Programs"
34,"Person: Green Economy"
35,"Person: Business Initiatives"
36,"Person: Environmental Impact"
37,"Person: Initial Growth Phase"
38,"Person: December 2024"
39,"Person: Companies Registered"
40,"Person: Funding Applications"
41,"Person: Funding Projects"
42,"Person: Investment Rounds"
43,"Person: €400,000"
44,"Person: Quarterly Growth"
45,"Person: Ani"
46,"Person: Company"
47,"Person: Product"
48,"Person: Agente De Ia"
49,"Person: Funds"
50,"Person: Markets"
51,"Person: Team"
52,"Person: Knowledge"
53,"Person: Methodologies"
54,"Person: Solution"
55,"Person: Internationalization"
56,"Person: Growth Support"
57,"Person: Expansion"
58,"Person: Partnerships"
59,"Concept: Support_For_Startup_Or_Growth"
60,"Concept: Project"
61,"Opportunity: Digital Product"
62,"Opportunity: Technological Component"
63,"Opportunity: Scalability Potential"
64,"Opportunity: Funding Opportunity"
65,"Opportunity: Public Funding"
66,"Person: Internal Resources"
67,"Opportunity: Ai Functionalities"
68,"Opportunity: Gans"
69,"Person: Financing Sector"
70,"Opportunity: Innovation"
71,"Opportunity: Digital Transformation"
72,"Opportunity: R&D"
73,"Opportunity: Knowledge Transfer"
74,"Opportunity: Application Process"
75,"Opportunity: Opportunity Identification"
76,"Opportunity: Eligibility Analysis"
77,"Opportunity: Application Writing"
78,"Opportunity: Evaluation"
79,"Opportunity: Automatic Submission"
80,"Opportunity: Project Management"
81,"Person: Business Ecosystem"
82,"Opportunity: Public Funding Mechanisms"
83,"Person: European Union"
84,"Opportunity: Proposal Quality"
85,"Person: Prr"
86,"Geographiccriterion: Empresa 4.0"
87,"Geographiccriterion: Saas Model"
88,"Person: Artificial Intelligence"
89,"Person: Automation"
90,"Person: Digital Usability"
91,"Person: Sustainable Financing Programs"
92,"Person: Eco-Inovation"
93,"Geographiccriterion: Portugal"
94,"Person: Technology-Based Company"
95,"Person: Growth Axis"
96,"Person: Funding Consultancy Sector"
97,"Person: Management Team"
98,"Geographiccriterion: Capabilities"
99,"Geographiccriterion: Software Engineering"
100,"Geographiccriterion: Strategic Leadership"
101,"Geographiccriterion: Product Management"
102,"Geographiccriterion: Commercial Expansion"
103,"Person: Bernardo Seixas"
104,"Person: Ceo"
105,"Person: Founder Of The Company"
106,"Person: Uber Eats Portugal Team"
107,"Person: Bernardo Tavares"
108,"Person: Cofounder Of Granter.Ai"
109,"Person: Cto Of Granter.Ai"
110,"Person: Head Of Incubation At Demium Portugal"
111,"Person: Cto Of Goparity"
112,"Person: Bernardo Moutinho"
113,"Person: Head Of Operations"
114,"Person: Francisco Belo"
115,"Person: Tech Lead At Granter.Ai"
116,"Person: Francisco Meirelles"
117,"Person: Head Of Sales"
118,"Person: Startup"
119,"Person: Multinational Company"
120,"Person: Hr Tech Startup"
121,"Person: Siemens"
122,"Person: Otovo"
123,"Person: Too Good To Go"
124,"Concept: Digital Solutions"
125,"Concept: Market Penetration"
126,"Concept: User Acquisition"
127,"Concept: Market Strategy"
128,"Concept: Business"
129,"Concept: Licenciamento"
130,"Concept: Communication"
131,"Concept: Value_Proposals"
132,"Person: Front-End Developer"
133,"Geographiccriterion: Competition"
134,"Opportunity: Market Solutions"
135,"Concept: Adaptability"
136,"Concept: Intuitive_Interface"
137,"Concept: Differentiation_Factor"
138,"Concept: Customer_Retention_Satisfaction"
139,"Concept: User_Experience"
140,"Concept: Simplifies_Processes"
141,"Concept: Enhances_Strategic_Quality"
142,"Concept: Proposal_Structure"
143,"Concept: Alignment_With_Eu_Goals"
144,"Concept: Approval_Probability"
145,"Concept: Funding"
146,"Concept: Strategic_Support_Capability"
147,"Concept: Artificial_Intelligence"
148,"Concept: Business_Model"
149,"Concept: Annual_Subscription_Strategy"
150,"Concept: Access_Levels"
151,"Concept: Market_Sustainability"
152,"Concept: Market_Scalability"
153,"Concept: Public_Funding_Demand"
154,"Concept: Regulatory_Context"
155,"Concept: Multilingual_Ai_Agent"
156,"Concept: Internationalization_Potential"
157,"Concept: Market_Leadership"
158,"Concept: Brand_Awareness"
159,"Concept: Strategic_Investment"
160,"Concept: Sustainable_Growth"
161,"Concept: Technological_Differentiation"
162,"Concept: User_Centric_Approach"
